_ga;GA1.2.889072283.1608800847;.guru99.com;/;Sat Dec 24 13:07:27 GET 2022;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Thu Dec 24 13:08:26 GET 2020;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.1938589461.1608800847;.guru99.com;/;Fri Dec 25 13:07:27 GET 2020;false
